Name,Type,Exts,Device ID,Status,Netwk,MAC Addr,Max APDU,Segmentation,Vendor,Model,Protocol Rev,Firmware Rev,App SW Version,Encoding,Health,Enabled,Use Cov,Use Cov Property,Max Cov Subscriptions,Cov Subscriptions
STM_BLR,Bacnet Device,BacnetDevice {STM_BLR},device:5006,{ok},1000,6,480,Segmented Both,JCI,MS-FEC2611-0,9,6.2.0.1054,10.2,Iso10646 _ U T F8,Ok [19-Aug-25 10:11 PM EDT],true,false,true,max,0
HWS_CNTl_PANEL,Bacnet Device,BacnetDevice {HWS_CNTl_PANEL},device:5007,{ok},1000,7,480,Segmented Both,JCI,MS-FEC2611-0,9,6.2.2.6,10.2,Iso10646 _ U T F8,Ok [19-Aug-25 10:11 PM EDT],true,false,true,max,0
CHWS_CP,Bacnet Device,BacnetDevice {CHWS_CP},device:5008,{ok},1000,8,480,Segmented Both,JCI,MS-FEC2611-0,9,6.2.0.1054,10.2,Iso10646 _ U T F8,Ok [19-Aug-25 10:11 PM EDT],true,true,true,max,0
AHU_2_1,Bacnet Device,BacnetDevice {AHU_2_1},device:5010,{ok},1000,10,480,Segmented Both,JCI,MS-FEC2611-0,9,6.2.0.1054,10.2,Iso10646 _ U T F8,Ok [19-Aug-25 10:11 PM EDT],true,true,true,max,0
AHU_2_2,Bacnet Device,BacnetDevice {AHU_2_2},device:5011,{ok},1000,11,480,Segmented Both,JCI,MS-FEC2611-0,9,6.2.2.6,10.2,Iso10646 _ U T F8,Ok [19-Aug-25 10:11 PM EDT],true,true,true,max,0
SF_2_2,Bacnet Device,BacnetDevice {SF_2_2},device:5013,{ok},1000,13,480,Segmented Both,JCI,MS-FEC2611-0,9,6.2.2.6,10.2,Iso10646 _ U T F8,Ok [19-Aug-25 10:11 PM EDT],true,true,true,max,0
EXHAUST_FANS,Bacnet Device,BacnetDevice {EXHAUST_FANS},device:5014,{ok},1000,14,480,Segmented Both,JCI,MS-FEC2611-0,9,6.2.2.6,10.2,Iso10646 _ U T F8,Ok [19-Aug-25 10:11 PM EDT],true,true,true,max,0
SVAV_D_2_1,Bacnet Device,BacnetDevice {SVAV_D_2_1},device:5015,{ok},1000,15,480,Segmented Both,JCI,MS-VMA1630-0,9,6.2.2.6,10.1,Iso10646 _ U T F8,Ok [19-Aug-25 10:11 PM EDT],true,true,true,max,0
SVAV_D_2_2,Bacnet Device,BacnetDevice {SVAV_D_2_2},device:5016,{ok},1000,16,480,Segmented Both,JCI,MS-VMA1630-0,9,6.2.2.6,10.1,Iso10646 _ U T F8,Ok [19-Aug-25 10:11 PM EDT],true,true,true,max,0
SVAV_D_2_3,Bacnet Device,BacnetDevice {SVAV_D_2_3},device:5017,{unackedAlarm},1000,17,480,Segmented Both,JCI,MS-VMA1630-0,9,6.2.2.6,10.1,Iso10646 _ U T F8,Ok [19-Aug-25 10:11 PM EDT],true,true,true,max,0
SVAV_D_2_4,Bacnet Device,BacnetDevice {SVAV_D_2_4},device:5018,{ok},1000,18,480,Segmented Both,JCI,MS-VMA1630-0,9,6.2.2.6,10.1,Iso10646 _ U T F8,Ok [19-Aug-25 10:11 PM EDT],true,true,true,max,0
VAV_2_2,Bacnet Device,BacnetDevice {VAV_2_2},device:5019,{ok},1000,19,480,Segmented Both,JCI,MS-VMA1630-0,9,6.2.2.6,10.1,Iso10646 _ U T F8,Ok [19-Aug-25 10:11 PM EDT],true,true,true,max,0
VAV_C_2_1,Bacnet Device,BacnetDevice {VAV_C_2_1},device:5020,{ok},1000,20,480,Segmented Both,JCI,MS-VMA1630-0,9,6.2.0.1054,10.2,Iso10646 _ U T F8,Ok [19-Aug-25 10:11 PM EDT],true,true,true,max,0
VAV_C_1_6,Bacnet Device,BacnetDevice {VAV_C_1_6},device:5021,{ok},1000,21,480,Segmented Both,JCI,MS-VMA1630-0,9,6.2.0.1054,10.2,Iso10646 _ U T F8,Ok [19-Aug-25 10:11 PM EDT],true,true,true,max,0
