id,legacy_customer_id,company_name,site_nickname,site_number,mailing_address,mailing_city,mailing_state,mailing_zip,primary_contact_email,primary_contact_name,primary_contact_phone,secondary_contact_email,secondary_contact_name,secondary_contact_phone,service_tier,system_platform,has_active_contracts,total_contract_value,primary_technician_id,secondary_technician_id,best_arrival_time,access_notes,site_hazards,special_instructions,created_at,updated_at,created_by,updated_by,last_job_numbers,last_visit_by,last_visit_date,site_experience,handoff_notes,best_arrival_times,poc_name,poc_phone,poc_available_hours,backup_contact,access_approach,common_access_issues,scheduling_notes,completion_status,commissioning_notes,known_issues,documentation_score,original_team_contact,original_team_role,original_team_info,when_to_contact_original,contract_number,contract_status,latest_contract_email
00151430-f692-4422-9e00-501a715cac47,921,HIGHLAND INDUSTRIAL BUILDINGS,HIGHLAND INDUSTRIAL BUILDINGS,,1055 ROUTE 9 SOUTH,OLD BRIDGE,NJ,8857,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:12:07.559888+00,2025-09-23 01:12:07.559888+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
0087baa7-47f1-45e4-9b2a-c72d2c97858b,285,"HANNA'S MECHANICAL CONTRACTORS, INC.","HANNA'S MECHANICAL CONTRACTORS, INC.",,44 NORTH MAIN STREET,MILLTOWN,NJ,8850,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:09:10.612937+00,2025-09-23 01:09:10.612937+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
009c4a32-d636-4e56-9a04-a7d1410dda61,290,HAVERSTRAW MIDDLE & HIGH SCHOOL,HAVERSTRAW MIDDLE & HIGH SCHOOL,,80 WEST ROUTE 9W,HAVERSTRAW,NY,10927,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:12:07.559888+00,2025-09-23 01:12:07.559888+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
00e71d5b-711f-45b0-ba26-1d5c109b8866,325,JONES CONTRACTING INC.,JONES CONTRACTING INC.,,6 FLEETWOOD PLACE,FORDS,NJ,8863,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:12:07.559888+00,2025-09-23 01:12:07.559888+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
019f5709-ca10-45ea-a448-581bbf2d7dbf,890,"JJ MECHANICAL SERVICES, LLC","JJ MECHANICAL SERVICES, LLC",,"66 SCHOOL STREET, UNIT A",GLEN COVE,NY,11542,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:12:07.559888+00,2025-09-23 01:12:07.559888+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
0299d75f-87d6-4a97-93ef-0e12136e23e9,746,BELLEVILLE BOARD OF EDUCATION (ESCNJ),BELLEVILLE BOARD OF EDUCATION (ESCNJ),,56 RALPH STREET,BELLEVILLE,NJ,7109,renato.peralta@bellevilleschools.org,,,,,,CORE,,true,8005.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,23-030623-279NJ,active,renato.peralta@bellevilleschools.org
03ede695-f790-4aa5-aa93-92e6031557b4,893,L-CADE,L-CADE,,"3605 CHAIN BRIDGE ROAD, SUITE 401",FAIRFAX,VA,22030,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:12:07.559888+00,2025-09-23 01:12:07.559888+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
04199f64-ffaf-439a-b501-e1ab6e3946ce,784,241 W 28TH STREET LLC,241 W 28TH STREET LLC,,243 WEST 28TH STREET,NEW YORK,NY,10001,,,,,,,CORE,,true,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
04d25673-d25d-4634-969e-aec1ce91aa5a,268,GOYETTE MECHANICAL,GOYETTE MECHANICAL,,3842 GOREY AVE.,FLINT,MI,48501,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:09:10.612937+00,2025-09-23 01:09:10.612937+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
06ce44eb-0399-4f43-972d-c36eeb77da49,295,HILLSIDE SCHOOL DISTRICT (ESCNJ),HILLSIDE SCHOOL DISTRICT (ESCNJ),,1401 GLEN TERRACE,HILLSIDE,NJ,7205,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:12:07.559888+00,2025-09-23 01:12:07.559888+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
