"Selected Criteria - Report Type: Contracts With Dates"
"Customer","Contract Name","Contract No.","Value","Status","Start Date","End Date","Email","Notes"
"SOMERSET COUNTY","SOMERSET - MAINTENANCE","CC-0010-23","$436,320.00","Active","09/01/2023","08/31/2026",,"Work tickets must be sent with all invoices per customer."
"CLIFTON BOARD OF EDUCATION","CLIFTON BOARD OF EDUCATION - MAINTENANCE","25-0620-745NJ","$316,339.00","Active","07/01/2025","06/30/2026",,
"THE MUSEUM OF MODERN ART (MOMA)","THE MUSEUM OF MODERN ART (MOMA) - MAINTENANCE",,"$277,690.00","Expired","07/01/2023","06/30/2024",,
"NEWARK BETH ISRAEL MEDICAL CTR","NEWARK BETH ISRAEL - Maintenance","23-0104-201NJ","$248,256.00","Active","03/01/2025","02/28/2026","diane.flakker@rwjbh.org","Contract Price Changes September Annually"
"NEWARK BETH ISRAEL MEDICAL CTR","NEWARK BETH ISRAEL - Maintenance","23-0104-201NJ","$244,596.00","Expired","03/01/2024","02/28/2025","diane.flakker@rwjbh.org","Contract Price Changes September Annually"
"LINCOLN CENTER FOR THE PERFORMING ARTS","LINCOLN CENTER FOR THE PERFORMING ARTS -  MAINTENANCE","PO4933","$243,090.00","Active","09/01/2024","08/31/2025",,
"LINCOLN CENTER FOR THE PERFORMING ARTS","140 W 65TH STREET & CENTRAL MECHANICAL PLANT - MAINTENANCE","PM-1002","$240,683.47","Expired","09/01/2019","08/30/2023",,"Contract changes September annually."
"EAST BRUNSWICK SCHOOL DIST(ESCNJ)","EAST BRUNSWICK - MAINTENANCE","25-0522-760NJ","$239,810.00","Active","07/01/2025","06/30/2026","gschenck@ebnet.org",
"NEWARK BETH ISRAEL MEDICAL CTR","NEWARK BETH ISRAEL - Maintenance","23-0104-201NJ","$238,620.00","Expired","03/01/2023","02/29/2024","diane.flakker@rwjbh.org","Contract Price Changes September Annually"
"EAST BRUNSWICK SCHOOL DIST(ESCNJ)","13 DISTRICT LOCATIONS - Maintenance","23-061622-760NJ","$233,960.00","Expired","07/01/2022","06/30/2023","gschenck@ebnet.org",
"EAST BRUNSWICK SCHOOL DIST(ESCNJ)","EAST BRUNSWICK - MAINTENANCE","23-053023-760NJ","$233,960.00","Expired","07/01/2023","06/30/2024","gschenck@ebnet.org",
"EAST BRUNSWICK SCHOOL DIST(ESCNJ)","EAST BRUNSWICK - MAINTENANCE","24-05073-760NJ","$233,960.00","Expired","07/01/2024","06/30/2025","gschenck@ebnet.org",
"JLL/CAPITAL ONE","11 WEST 19TH STREET - MAINTENANCE",,"$185,175.00","Active","07/01/2023","06/30/2026","isaih.matos@capitalone.com","Monthly"
"JLL/CAPITAL ONE","299 PARK AVENUE - MAINTENANCE",,"$167,250.00","Active","07/01/2023","06/30/2026","isaih.matos@capitalone.com","Monthly"
"F & G MECHANICAL CORP.","67 E. PARK PLACE - MAINTENANCE","23-1222-348NJ","$150,156.00","Expired","04/01/2024","03/31/2025","leek@fgmech.com",
"SOMERSET COUNTY","SOMERSET - MAINTENANCE","CC-0010-20","$149,040.00","Expired","09/01/2020","08/31/2023",,"Work tickets must be sent with all invoices per customer."
"CALDWELL WEST CALDWELL (ESCNJ)","7 LOCATIONS - WEST CALDWELL SCHOOL DISTRICT","22-041122-104NJ","$147,625.00","Expired","10/01/2022","09/30/2023","cmarcell@cwcboe.org",
"CALDWELL WEST CALDWELL (ESCNJ)","WEST CALDWELL SCHOOL DISTRICT - MAINTENANCE","23-060123-104NJ","$147,625.00","Expired","07/01/2023","06/30/2024","cmarcell@cwcboe.org","MONTHLY"
"CALDWELL WEST CALDWELL (ESCNJ)","WEST CALDWELL SCHOOL DISTRICT - MAINTENANCE","24-0522-104NJ","$147,625.00","Expired","07/01/2024","06/30/2025","cmarcell@cwcboe.org","MONTHLY"
"CALDWELL WEST CALDWELL (ESCNJ)","WEST CALDWELL SCHOOL DISTRICT - MAINTENANCE","25-0527-104NJ","$147,625.00","Active","07/01/2025","06/30/2026","cmarcell@cwcboe.org","MONTHLY"
"LINCOLN CENTER FOR THE PERFORMING ARTS","LINCOLN CENTER FOR THE PERFORMING ARTS -  NYPL MAINTENANCE","5585","$141,292.75","Active","07/01/2025","06/30/2027",,
"PHILLIPSBURG BOARD OF EDUCATION (ESCNJ)","PHILLIPSBURG BOARD OF EDUCATION (ESCNJ) - MAINTENANCE","22-1004-50NJ","$137,736.00","Active","07/01/2025","06/30/2028",,
"BLUMENFELD DEVELOPMENT GROUP","BULOVA CORPORATE CENTER - MAINTENANCE CONTRACT","23-113022-300NY","$135,150.00","Active","01/01/2023","12/31/2027",,
"ROCHE MOLECULAR SYSTEMS, INC.","ROCHE MOLECULAR SYSTEMS, INC. - MAINTENANCE","23-0412-1080NJ","$119,430.00","Active","01/01/2025","12/31/2029",,
"PATERSON BOARD OF EDUCATION (ESCNJ)","PATERSON BOARD OF EDUCATION (ESCNJ) -  MAINTENANCE","23-020723-90NJ","$114,338.00","Expired","01/01/2023","12/30/2023",,"QUARTERLY"
"HONEYWELL INC.","MOUNT VERNON SCHOOL DISTRICT - MAINTENANCE CONTRACT","24-0523-165NY","$104,539.00","Expired","06/01/2024","05/31/2025","cara.marino@honeywell.com",
"HONEYWELL INC.","MOUNT VERNON SCHOOL DISTRICT - MAINTENANCE CONTRACT","23-070523-165NY","$98,782.00","Expired","06/01/2023","05/31/2024","cara.marino@honeywell.com",
"MOUNT VERNON CITY SCHOOL DISTRICT","MOUNT VERNON CITY SCHOOL DISTRICT -  MAINTENANCE",,"$95,905.00","Expired","03/01/2023","02/29/2024",,"$23,976.25 PER QUARTER"
"HONEYWELL INC.","MOUNT VERNON SCHOOL DISTRICT - MAINTENANCE CONTRACT","--------","$95,905.00","Expired","03/01/2023","02/29/2024","cara.marino@honeywell.com","$23,976.25 / QUARTER"
"241 WEST 28TH STREET OWNER LLC","241 WEST 28TH STREET OWNER LLC - MAINTENANCE","23-0451823-241NY","$92,500.00","Active","06/01/2023","05/31/2028",,
"HONEYWELL INC.","MOUNT VERNON SCHOOL DISTRICT - MAINTENANCE CONTRACT","25-0527-165NY","$89,264.00","Active","06/01/2025","05/31/2026","cara.marino@honeywell.com",
"UNION COLLEGE (ESCNJ)","UNION COLLEGE - MAINTENANCE","23-050823-1033NJ","$87,004.00","Active","10/01/2023","09/30/2024",,"Must submit work tickets with invoice."
"PARAMUS BOARD OF EDUCATION (ESCNJ)","PARAMUS SCHOOL DISTRICT - MAINTENANCE","25-042825-145NJ","$84,263.00","Active","07/01/2025","06/30/2026","srusso@paramusschools.org",
"MERIDIAN PROPERTY SERVICES, INC.","NEWARK INTERNATIONAL AIRPORT - TERMINAL B","20-081120-315","$82,152.00","Expired","08/20/2017","08/16/2023","acosme@meridianservices.com","Annual contract price is based on if every item is billed in contract."
"LINCOLN CENTER FOR THE PERFORMING ARTS","DAVID GEFFEN HALL (DGH) - MAINTENANCE",,"$81,546.00","Expired","08/01/2023","07/31/2024",,"Weekly.
(plus additional $10,000 contingency for approved repairs)"
"PARAMUS BOARD OF EDUCATION (ESCNJ)","PARAMUS SCHOOL DISTRICT","23-061422-145NJ-13M","$80,725.00","Expired","07/01/2022","06/30/2023","srusso@paramusschools.org",
"PARAMUS BOARD OF EDUCATION (ESCNJ)","PARAMUS SCHOOL DISTRICT - MAINTENANCE","23-061422-145NJ-13M","$80,725.00","Expired","07/01/2023","06/30/2024","srusso@paramusschools.org",
"PARAMUS BOARD OF EDUCATION (ESCNJ)","PARAMUS SCHOOL DISTRICT - MAINTENANCE","24-041724-145NJ","$80,725.00","Expired","07/01/2024","06/30/2025","srusso@paramusschools.org",
"CLIFTON BOARD OF EDUCATION","CLIFTON BOARD OF EDUCATION - MAINTENANCE","25-0122-745NJ5MPR","$73,046.00","Expired","02/01/2025","06/30/2025",,
"SECAUCUS BOARD OF EDUCATION (CCESC)","SECAUCUS BOARD OF EDUCATION (CCESC) - MAINTENANCE","25-0523-685NJ","$71,720.00","Active","07/01/2025","06/30/2026",,"Monthly
SMA Included
UNL RS"
"EVESHAM TOWNSHIP SCHOOL DISTRICT (ESCNJ)","EVESHAM TOWNSHIP SCHOOL DISTRICT (ESCNJ) -  MAINTENANCE","24-0703-25NJ_2","$71,354.95","Active","07/01/2024","06/30/2029",,
"693 FIFTH OWNER LLC","COLLIERS 695 5TH - Maintenance","21-051021-693NY","$64,338.50","Expired","07/01/2022","06/30/2024","Thomas.Hardman@colliers.com","(3) Years     -      + 3,300 each year (20 service hours / year)    -   60 total.
17,700.00
18,142.50
18,596.00"
"JLL/CAPITAL ONE","11 WEST 19TH STREET",,"$61,728.00","Expired","06/11/2020","06/30/2023","isaih.matos@capitalone.com",
