SOP_ID,Title,System_Family,Vendor_Flavor,Phase,Service_Tiers,Estimated_Duration_min,Audience_Level,Prerequisites,Safety,Goal,UI_Navigation,Step_List_CORE,Step_List_ASSURE,Step_List_GUARDIAN,Verification_Steps,Rollback_Steps,Best_Practices,Tools,Hyperlinks,Owner,Last_Updated,Version
SOP_C001,Platform & Station Backup,Niagara,,Prep,CORE,,2,,"Ensure system stability during backup process
Verify backup storage security",Perform: Platform & Station Backup,Platform → Platform Administration → Backup/Restore,"1. Open Backup Utility in Workbench
2. 2. Connect to Platform of Niagara host
3. 3. Select running Station and click ""Backup Station""
4. 4. Name backup with format: [CustomerName]_[YYYY-MM-DD]_PMBackup
5. 5. Include History/Alarms if needed (check BackupService settings)
6. 6. Click ""Create"" and monitor progress
7. 7. Verify backup completed successfully
8. 8. Copy backup to external drive and cloud storage
9. 9. Test backup integrity by opening .dist file",,,,,,"Workbench, External storage drive, Cloud access",Tridium Niagara 4 Platform Guide (backup concepts): https://downloads.onesight.solutions/Tridium/Niagara%204%20Documentation/docPlatform/docPlatform.pdf | JACE-8000 Backup & Restore Guide: https://support.innon.com/Tridium%20Niagara/Jace8000/Documents/jace-8000_backup_and_restore_guide.pdf | JACE-9000 Backup & Restore Guide: https://support.innon.com/Tridium%20Niagara/Jace9000/Documents/jace-9000_backup_and_restore_guide_2024-10-03-11-52-02.pdf | Niagara Provisioning Guide (backup via jobs): https://downloads.onesight.solutions/Tridium/Niagara%204%20Documents/docProvisioning.pdf,,8/26/2025,v2.2
SOP_C002,Performance Verification,Niagara,,Health_Sweep,CORE,,2,,Monitor system performance impact during diagnostics,Perform: Performance Verification,Diagnostics → Resource Manager (Station Summary),"1. Right-click Station and select Views → Station Summary
2. 2. Check CPU Usage (should be <80% sustained)
3. 3. Check Heap Memory (should be <75% after garbage collection)
4. 4. Verify License Capacities not exceeded
5. 5. Check File Descriptors on JACE (if applicable)
6. 6. Use Spy tool for Engine Hogs if performance issues
7. 7. Check driver poll rates and cycle times
8. 8. Review Application Director for errors",,,,,,"Workbench, System monitoring tools",,,8/26/2025,v2.2
SOP_C003,Active Alarm Resolution,Niagara,,Health_Sweep,CORE,,2,,Verify alarm acknowledgment doesn't compromise safety systems,Perform: Active Alarm Resolution,Alarm Console → Review/Acknowledge,"1. Open Alarm Console in Workbench
2. 2. Sort alarms by priority (Critical first)
3. 3. For each critical alarm:
4. a) Record alarm text and time
5. b) Right-click → ""Go to Source""
6. c) Investigate root cause
7. d) Take corrective action
8. e) Acknowledge alarm
9. 4. Review HIGH priority alarms
10. 5. Check alarm history for patterns
11. 6. Test alarm notification system",1. 7. Update alarm recipient lists if needed,,,,,"Workbench, Diagnostic tools",JCI Facility Explorer Supervisory Products Networking TB (Alarm Console): https://docs.johnsoncontrols.com/bas/api/khub/documents/CEot5NVNmxDPHRv~b5wJ4A/content,,8/26/2025,v2.2
SOP_C004,Schedule & Setpoint Verification,Niagara,,Prep,CORE,,2,,Ensure schedule changes don't compromise comfort or equipment safety,Perform: Schedule & Setpoint Verification,Config → Schedules → Weekly Calendar,"1. Review all active schedules
2. 2. Verify schedule times match occupancy
3. 3. Check holiday/exception calendars
4. 4. Review temperature setpoints for each mode
5. 5. Verify setback/setup temperatures
6. 6. Check schedule priorities and overrides
7. 7. Document any recommended changes",1. 8. Update schedules per customer request,,,,,"Workbench, Building occupancy schedule",,,8/26/2025,v2.2
SOP_C005,Override Point Cleanup,Niagara,,Deep_Dive,CORE,,2,,Verify override release doesn't impact critical systems,Perform: Override Point Cleanup,Point Manager → Overrides → Analysis,"1. Open Point Manager and filter for overrides
2. 2. Document all points in override
3. 3. Investigate reason for each override
4. 4. Release unnecessary overrides
5. 5. Document legitimate overrides with reason
6. 6. Check for expired temporary overrides
7. 7. Verify system returns to auto after override release",,,,,,"Workbench, Override documentation",,,8/26/2025,v2.2
SOP_C006,Critical Sensor Check,Niagara,,Prep,CORE,,2,,Use lockout/tagout procedures when working on sensor circuits,Perform: Critical Sensor Check,Point Manager → Analog Inputs,"1. Identify critical sensors (OAT, space temps, pressures)
2. 2. Compare sensor readings to reference
3. 3. Check for sensor drift or stuck values
4. 7. Check sensor wiring and connections","1. 4. Verify sensor trends are reasonable
2. 5. Calibrate sensors if needed
3. 6. Document calibration offsets
4. 8. Update sensor maintenance log",,,,,"Calibrated thermometer, Multimeter, Reference instruments",,,8/26/2025,v2.2
SOP_C007,User Account Security Audit,Niagara,,Deep_Dive,CORE,,2,,Maintain system access integrity during security changes,Perform: User Account Security Audit,Config → Services → UserService,"1. 3. Check roles and permissions
2. 5. Verify strong password policies
3. 6. Check password expiration settings",,"1. Review all user accounts
2. 2. Verify unique accounts (no sharing)
3. 4. Disable dormant/default accounts
4. 7. Test account lockout feature
5. 8. Update security documentation",,,,"Workbench, Security checklist",Niagara 4 Hardening Guide (2025): https://www.tridium.com/content/dam/tridium/en/documents/document-lists/niagara/tri-Niagara4-Hardening-Guide-en-2025.pdf | Passphrase reset/how‑to (Niagara 4): https://help.onesight.solutions/kb/niagara4-passphrase-reset-windows/,,8/26/2025,v2.2
SOP_C008,Documentation Update,Niagara,,Wrap_Up,CORE,,1,,Ensure documentation accurately reflects current system configuration,Perform: Documentation Update,Station → Export → File Management,"1. 3. Document setpoint modifications
2. 5. Record any hardware changes
3. 7. Save all documentation to customer folder
4. 8. Upload to cloud storage","1. Export current point list
2. 2. Update control drawings with changes
3. 4. Update sequence of operations
4. 6. Update contact information",,,,,"Workbench, Documentation templates",,,8/26/2025,v2.2
SOP_A001,Device Communication Health,Niagara,,Health_Sweep,ASSURE,,2,C002,Use proper ESD protection when handling network devices,Perform: Device Communication Health,Config → Drivers → [Protocol] → Device Manager,"1. 2. Verify all devices show ""online"" status
2. 3. For offline devices:
3. a) Attempt ping/refresh
4. b) Check device power
5. d) Check addressing
6. 4. Review communication statistics
7. 5. Check for high error/retry counts
8. 6. Document offline devices
9. 7. Create work orders for repairs",,"1. Open Device Manager for each network
2. c) Verify network wiring",,,,"Workbench, Network tools, Multimeter",,,8/26/2025,v2.2
SOP_A002,Temperature Sensor Calibration,Niagara,,Prep,ASSURE,,2,C006,"Follow lockout/tagout procedures
Use appropriate PPE",Perform: Temperature Sensor Calibration,Point Override → Reference Comparison,"1. Identify sensors for calibration
2. 3. Compare BAS reading to reference
3. 5. Apply calibration in Niagara
4. 6. Verify corrected reading
5. 7. Document calibration values
6. 8. Schedule next calibration","1. 2. Obtain calibrated reference instrument
2. 4. Calculate offset if needed",,,,,"NIST-traceable thermometer, Calibration log",,,8/26/2025,v2.2
SOP_A003,Valve & Actuator Testing,Niagara,,Prep,ASSURE,,2,C005,"Coordinate with facility personnel
Verify fail-safe operation",Perform: Valve & Actuator Testing,Output Override → Physical Verification,"1. Plan testing to minimize disruption
2. 2. Override output to 0% (closed)
3. 3. Verify physical closure
4. 4. Override to 50% and verify
5. 5. Override to 100% (open) and verify
6. 6. Check for smooth operation
7. 7. Listen for unusual noises
8. 8. Test fail-safe operation
9. 9. Return all points to auto",,,,,,"Workbench, Radio/phone for coordination",,,8/26/2025,v2.2
SOP_A004,Control Loop Performance,Niagara,,Prep,ASSURE,,2,C004,Monitor system stability during tuning changes,Perform: Control Loop Performance,Control Logic → Loops → Analysis,"1. Identify critical control loops
2. 2. Review current PID settings
3. a) P-gain for response
4. c) D-time if required
5. 6. Test response to setpoint change
6. 7. Document original and new values","1. 3. Trend setpoint, PV, and output
2. 4. Check for oscillation or offset
3. 5. Adjust tuning if needed:
4. b) I-time for offset",,,,,"Workbench, Trending tools, Tuning guide",,,8/26/2025,v2.2
