Tool_Name,Type,Primary_Purpose,Applicable_Tiers,System_Fit,Phase,Onsite_or_Remote,Audience_Level,Must_Have_for,Nice_to_Have_for,License_Type,Owner,Notes,Last_Updated,Version
PPE Gear Bags (Blue/Orange),Software,PPE Gear Bags containing: hard hat; safety glasses; high-visibility vest; gloves; ear protection,"CORE,ASSURE,GUARDIAN",Any,,Onsite,2,CORE,GUARDIAN,,,PPE Gear Bags containing: hard hat; safety glasses; high-visibility vest; gloves; ear protection,2025-08-26,v2.2
Ladders & Safety Harnesses,Software,Ladders (of appropriate height) & certified safety harnesses for elevated work,"CORE,ASSURE,GUARDIAN",Any,,Onsite,2,CORE,GUARDIAN,,,Ladders (of appropriate height) & certified safety harnesses for elevated work,2025-08-26,v2.2
Pneumatic Service Kit,Software,"Pneumatic Service Kit (gauge, tubing, fittings, aspirator bulb) for calibrating legacy pneumatic controls","ASSURE,GUARDIAN",Any,Deep_Dive,Onsite,2,,GUARDIAN,,,"Pneumatic Service Kit (gauge, tubing, fittings, aspirator bulb) for calibrating legacy pneumatic controls",2025-08-26,v2.2
LED Headlamp,Software,LED headlamp for hands-free illumination,"CORE,ASSURE,GUARDIAN",Any,,Onsite,2,CORE,GUARDIAN,,,LED headlamp for hands-free illumination,2025-08-26,v2.2
Digital Multimeter,Software,Fluke 87V or ruggedized 87V MAX True-RMS multimeter,"CORE,ASSURE,GUARDIAN",Any,,Onsite,2,CORE,GUARDIAN,,,Fluke 87V or ruggedized 87V MAX True-RMS multimeter,2025-08-26,v2.2
Temperature/Humidity Meter,Software,Fluke 971 Thermo-Hygrometer for temperature and humidity readings,"CORE,ASSURE,GUARDIAN",Any,,Onsite,2,CORE,GUARDIAN,,,Fluke 971 Thermo-Hygrometer for temperature and humidity readings,2025-08-26,v2.2
Infrared Thermometer,Software,Raytek MiniTemp RAYMT4U or Fluke 62 MAX infrared thermometer,"CORE,ASSURE,GUARDIAN",Any,,Onsite,2,CORE,GUARDIAN,,,Raytek MiniTemp RAYMT4U or Fluke 62 MAX infrared thermometer,2025-08-26,v2.2
Clamp Meter,Software,Fluke 376 or 902 FC clamp meter,"CORE,ASSURE,GUARDIAN",Any,,Onsite,2,CORE,GUARDIAN,,,Fluke 376 or 902 FC clamp meter,2025-08-26,v2.2
Digital Manometer,Software,Dwyer 475-1-FM digital manometer,"ASSURE,GUARDIAN",Any,,Onsite,2,,GUARDIAN,,,Dwyer 475-1-FM digital manometer,2025-08-26,v2.2
Assorted Insulated Hand-Tool Set,Software,"Insulated screwdrivers, pliers, nut drivers, adjustable wrenches, hex keys, Torx bits","CORE,ASSURE,GUARDIAN",Any,,Onsite,2,CORE,GUARDIAN,,,"Insulated screwdrivers, pliers, nut drivers, adjustable wrenches, hex keys, Torx bits",2025-08-26,v2.2
Wire Stripper,Software,Klein Tools wire stripper for precise stripping,"CORE,ASSURE,GUARDIAN",Any,,Onsite,2,CORE,GUARDIAN,,,Klein Tools wire stripper for precise stripping,2025-08-26,v2.2
Crimp Tool,Software,Thomas & Betts crimp tool for connector installation,"CORE,ASSURE,GUARDIAN",Any,,Onsite,2,CORE,GUARDIAN,,,Thomas & Betts crimp tool for connector installation,2025-08-26,v2.2
Electrical Tape,Software,3M Scotch 33+ electrical tape,"CORE,ASSURE,GUARDIAN",Any,,Onsite,2,CORE,GUARDIAN,,,3M Scotch 33+ electrical tape,2025-08-26,v2.2
Wire Connectors,Software,Assorted wire nuts (e.g. blue),"CORE,ASSURE,GUARDIAN",Any,,Onsite,2,CORE,GUARDIAN,,,Assorted wire nuts (e.g. blue),2025-08-26,v2.2
Torpedo Level,Software,Compact torpedo level for quick leveling checks,"CORE,ASSURE,GUARDIAN",Any,,Onsite,2,CORE,GUARDIAN,,,Compact torpedo level for quick leveling checks,2025-08-26,v2.2
Thermostat Service Wrench,Software,"JC 5309 flexible wrench; T-4000-119 ""Blue"" thermostat tool","CORE,ASSURE,GUARDIAN",Any,,Onsite,2,CORE,GUARDIAN,,,"JC 5309 flexible wrench; T-4000-119 ""Blue"" thermostat tool",2025-08-26,v2.2
Laptop Computer,Software,"Primary laptop with Ethernet, USB, and Wi-Fi interfaces","CORE,ASSURE,GUARDIAN",Any,,Onsite,2,CORE,GUARDIAN,,,"Primary laptop with Ethernet, USB, and Wi-Fi interfaces",2025-08-26,v2.2
Ethernet Cable Tester,Software,T3 Innovation TT550 Tri Tester Pro or Fluke LinkIQ,"CORE,ASSURE,GUARDIAN",Any,Deep_Dive,Onsite,2,CORE,GUARDIAN,,,T3 Innovation TT550 Tri Tester Pro or Fluke LinkIQ,2025-08-26,v2.2
RJ-45 Crimp Tool,Software,Bomar/Ideal EZ-RJ45 crimper,"CORE,ASSURE,GUARDIAN",Any,Deep_Dive,Onsite,2,CORE,GUARDIAN,,,Bomar/Ideal EZ-RJ45 crimper,2025-08-26,v2.2
EZ RJ-45 Connectors,Software,EZ RJ-45 connectors for quick terminations,"CORE,ASSURE,GUARDIAN",Any,Deep_Dive,Onsite,2,CORE,GUARDIAN,,,EZ RJ-45 connectors for quick terminations,2025-08-26,v2.2
Portable Network Switch,Software,4- or 5-port USB-powered mini switch,"CORE,ASSURE,GUARDIAN",Any,Deep_Dive,Onsite,2,CORE,GUARDIAN,,,4- or 5-port USB-powered mini switch,2025-08-26,v2.2
