simpro_customer_id,company_name,email,mailing_address,mailing_city,mailing_state,mailing_zip,labor_tax_code,part_tax_code,is_contract_customer,has_active_contracts,active_contract_count,total_contract_value,service_tier,latest_contract_email
1037,100 SOUTHGATE KM LLC,,100 SOUTHGATE PARKWAY,MORRISTOWN,NJ,7960,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,False,0,0.0,CORE,
5,10 SULLIVAN STREET CONDOMINIUM,,C/O SOLSTICE RESIDENTIAL GROUP LLC,NEW YORK,NY,10004,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),True,True,1,5407.0,CORE,jimmy10sullivan@gmail.com
1032,1200 MT. KEMBLE KM LLC,,1200 MT. KEMBLE AVE,MORRISTOWN,NJ,7960,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,False,0,0.0,CORE,
961,125 W 125TH STREET OFFICE OWNER LLC,,"111 FIFTH AVENUE, 9TH FLOOR
c/o TACONIC MANAGEMENT COMPANY LLC",NEW YORK,NY,10003,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),True,True,1,24175.0,CORE,
900,"1401 VALLEY ROAD, LLC.",,1 MARINE PLAZA,NORTH BERGEN,NJ,7047,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,False,0,0.0,CORE,
905,1425 HUDSON STREET CONDOMINIUM ASSOC.,,1425 HUDSON STREET,HOBOKEN,NJ,7030,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,False,0,0.0,CORE,
7,1460 LEASEHOLD SWINGHM LLC,,"C/O MERINGOFF PROPERTIES, INC.",NEW YORK,NY,10010,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),True,True,1,17201.0,CORE,thowe@merprop.com
870,150 EAST 57TH STREET LLC.,,150 East 57th Street,New York,NY,10022,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),False,False,0,0.0,CORE,
9,180 RIVER JV LLC,,"c/o SAXUM REAL ESTATE - 359 SPRINGFIELD AVE, FL. 2",SUMMIT,NJ,7901,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,False,0,0.0,CORE,
1063,195 COLUMBIA LLC,,"195 COLUMBIA TPKE, SUITE #100",FLORHAM PARK,NJ,7932,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,False,0,0.0,CORE,
11,"220 CAP, LLC",,260 CENTENNIAL AVE.,PISCATAWAY,NJ,8854,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,False,0,0.0,CORE,
1044,222 EAST BROADWAY CONDOMINIUM,,222 EAST BROADWAY,NEW YORK,NY,10002,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),False,True,1,17552.0,CORE,
784,241 W 28TH STREET LLC,,243 WEST 28TH STREET,NEW YORK,NY,10001,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),True,False,0,0.0,CORE,
10,2 RECTOR STREET(NY)LLC,,"JLL MANAGEMENT OFFICE,",NEW YORK,NY,10006,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
13,"300 KIMBALL NJ, LLC",,"300 KIMBALL DRIVE, SUITE 100",PARSIPPANY,NJ,7054,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,True,1,17726.0,CORE,monique.hughes@300kimballnj.com
774,30 EAST CONDO,,1 PENN PLAZA,NEW YORK,NY,10001,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),False,False,0,0.0,CORE,
827,35 WEST 36TH STREET CONDOMINIUM,,35 WEST 36TH STREET,NEW YORK,NY,10018,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),False,False,0,0.0,CORE,
16,"401 COLUMBUS HOLDINGS, LLC",,401 COLUMBUS AVE. LOWER LEVEL,VALHALLA,NY,10595,TNYW NY WESTCHESTER SALES TAX (8.375%),TNYW NY WESTCHESTER SALES TAX (8.375%),False,False,0,0.0,CORE,
1038,42 TRINITY PLACE CONDOMINIUM,,"575 FIFTH AVE, 9TH FL",NEW YORK,NY,10017,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),False,True,1,21400.0,CORE,
1008,540 WPR LLC,mj1realty2018@gmail.com,236 ERNSTON RD,PARLIN,NJ,8859,TNYW NY WESTCHESTER SALES TAX (8.375%),TNYW NY WESTCHESTER SALES TAX (8.375%),False,False,0,0.0,CORE,
834,"608 COMPANY, LLC (c/o CBRE)",,"240 CENTRAL PARK SOUTH
Bill Box # 01-205819-ILJ001",NEW YORK,NY,10019,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),False,False,0,0.0,CORE,
1036,60 COLUMBIA KM LLC,,60 COLUMBIA ROAD,MORRISTOWN,NJ,7960,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,False,0,0.0,CORE,
19,693 FIFTH OWNER LLC,,C/O COLLIERS TRI-STATE MGMNT.,NEW YORK,NY,10036,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),False,True,1,57192.0,CORE,
20,7 AND 9 ROSZEL ROAD LLC,,"C/O CBRE, INC.",PRINCETON,NJ,08540-6287,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),True,True,1,9938.0,CORE,gregory.ginis@cbre.com
27,ACP CONTRACTING INC.,,25 JUST ROAD,FAIRFIELD,NJ,7004,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
29,ADAMS & COMPANY,,411 FIFTH AVENUE,NEW YORK,NY,10016,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),False,True,2,17600.0,CORE,
953,AINSWORTH INC.,,83-40 72nd Drive,Glendale,NY,11385,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
1001,AIR COMFORT LLC,,,,,,,,False,False,0,0.0,CORE,
33,AIR CONTROL MECHANICAL,,24A WORLDS FAIR DRIVE,SOMERSET,NJ,8873,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
35,"AIR IDEAL, INC.",,51 WINDSOR AVE.,MINEOLA,NY,11501,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
37,AIR STREAM AIR CONDITIONING CORP,,400 CROSSWAYS PARK DRIVE,WOODBURY,NY,11797,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
38,AIR SYSTEMS MAINTENANCE INC.,,718 JEFFERSON AVENUE,KENILWORTH,NJ,7033,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),True,False,0,0.0,CORE,
831,AIRTAC LLC,,300 Tice Boulevard Suite 170,Woodcliff Lake,NJ,7677,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,False,0,0.0,CORE,
42,AJ CELIANO INC.,,460 LUDLOW AVE,CRANFORD,NJ,7016,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
902,ALEXANDRIA TOWNSHIP BOE (ESCNJ),,557 COUNTY ROAD 513,PITTSTOWN,NJ,8867,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,True,1,5071.5,CORE,
818,ALL COAST SERVICE,,69 LAIRD AVENUE,NEPTUNE CITY,NJ,7753,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
763,ALL COUNTY MECHANICAL CONTRACTING,,56 MCKINLEY STREET,HACKENSACK,NJ,7601,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
44,ALLENDALE BOARD OF EDUCATION,,100 BROOKSIDE AVE.,ALLENDALE,NJ,7401,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
978,"ALL-TECH CONTROLS, LLC",,485 AMHERST DRIVE,BRICK,NJ,8723,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
