Customer,Labor Tax Code,Email,Mailing Address,Mailing City,Mailing State,Mailing ZIP Code,Customer ID,Part Tax Code,Contract Customer
100 SOUTHGATE KM LLC,TNJ NJ SALES TAX (6.625%),,100 SOUTHGATE PARKWAY,MORRISTOWN,NJ,7960,1037,TNJ NJ SALES TAX (6.625%),
10 SULLIVAN STREET CONDOMINIUM,TNYC NYC SALES TAX (8.875%),,C/O SOLSTICE RESIDENTIAL GROUP LLC,NEW YORK,NY,10004,5,TNYC NYC SALES TAX (8.875%),Yes
1200 MT. KEMBLE KM LLC,TNJ NJ SALES TAX (6.625%),,1200 MT. KEMBLE AVE,MORRISTOWN,NJ,7960,1032,TNJ NJ SALES TAX (6.625%),No
125 W 125TH STREET OFFICE OWNER LLC,NNY NON-TAXABLE NY (0%),,"111 FIFTH AVENUE, 9TH FLOOR
c/o TACONIC MANAGEMENT COMPANY LLC",NEW YORK,NY,10003,961,NNY NON-TAXABLE NY (0%),Yes
"1401 VALLEY ROAD, LLC.",TNJ NJ SALES TAX (6.625%),,1 MARINE PLAZA,NORTH BERGEN,NJ,7047,900,TNJ NJ SALES TAX (6.625%),No
1425 HUDSON STREET CONDOMINIUM ASSOC.,TNJ NJ SALES TAX (6.625%),,1425 HUDSON STREET,HOBOKEN,NJ,7030,905,TNJ NJ SALES TAX (6.625%),No
1460 LEASEHOLD SWINGHM LLC,TNYC NYC SALES TAX (8.875%),,"C/O MERINGOFF PROPERTIES, INC.",NEW YORK,NY,10010,7,TNYC NYC SALES TAX (8.875%),Yes
150 EAST 57TH STREET LLC.,TNYC NYC SALES TAX (8.875%),,150 East 57th Street,New York,NY,10022,870,TNYC NYC SALES TAX (8.875%),No
180 RIVER JV LLC,TNJ NJ SALES TAX (6.625%),,"c/o SAXUM REAL ESTATE - 359 SPRINGFIELD AVE, FL. 2",SUMMIT,NJ,7901,9,TNJ NJ SALES TAX (6.625%),No
195 COLUMBIA LLC,TNJ NJ SALES TAX (6.625%),,"195 COLUMBIA TPKE, SUITE #100",FLORHAM PARK,NJ,7932,1063,TNJ NJ SALES TAX (6.625%),
"220 CAP, LLC",TNJ NJ SALES TAX (6.625%),,260 CENTENNIAL AVE.,PISCATAWAY,NJ,8854,11,TNJ NJ SALES TAX (6.625%),No
222 EAST BROADWAY CONDOMINIUM,TNYC NYC SALES TAX (8.875%),,222 EAST BROADWAY,NEW YORK,NY,10002,1044,TNYC NYC SALES TAX (8.875%),
241 W 28TH STREET LLC,TNYC NYC SALES TAX (8.875%),,243 WEST 28TH STREET,NEW YORK,NY,10001,784,TNYC NYC SALES TAX (8.875%),Yes
2 RECTOR STREET(NY)LLC,NNY NON-TAXABLE NY (0%),,"JLL MANAGEMENT OFFICE,",NEW YORK,NY,10006,10,NNY NON-TAXABLE NY (0%),No
"300 KIMBALL NJ, LLC",TNJ NJ SALES TAX (6.625%),,"300 KIMBALL DRIVE, SUITE 100",PARSIPPANY,NJ,7054,13,TNJ NJ SALES TAX (6.625%),No
30 EAST CONDO,TNYC NYC SALES TAX (8.875%),,1 PENN PLAZA,NEW YORK,NY,10001,774,TNYC NYC SALES TAX (8.875%),No
35 WEST 36TH STREET CONDOMINIUM,TNYC NYC SALES TAX (8.875%),,35 WEST 36TH STREET,NEW YORK,NY,10018,827,TNYC NYC SALES TAX (8.875%),No
"401 COLUMBUS HOLDINGS, LLC",TNYW NY WESTCHESTER SALES TAX (8.375%),,401 COLUMBUS AVE. LOWER LEVEL,VALHALLA,NY,10595,16,TNYW NY WESTCHESTER SALES TAX (8.375%),No
42 TRINITY PLACE CONDOMINIUM,TNYC NYC SALES TAX (8.875%),,"575 FIFTH AVE, 9TH FL",NEW YORK,NY,10017,1038,TNYC NYC SALES TAX (8.875%),
540 WPR LLC,TNYW NY WESTCHESTER SALES TAX (8.375%),MJ1realty2018@gmail.com,236 ERNSTON RD,PARLIN,NJ,8859,1008,TNYW NY WESTCHESTER SALES TAX (8.375%),No
"608 COMPANY, LLC (c/o CBRE)",TNYC NYC SALES TAX (8.875%),,"240 CENTRAL PARK SOUTH
Bill Box # 01-205819-ILJ001",NEW YORK,NY,10019,834,TNYC NYC SALES TAX (8.875%),No
60 COLUMBIA KM LLC,TNJ NJ SALES TAX (6.625%),,60 COLUMBIA ROAD,MORRISTOWN,NJ,7960,1036,TNJ NJ SALES TAX (6.625%),
693 FIFTH OWNER LLC,TNYC NYC SALES TAX (8.875%),,C/O COLLIERS TRI-STATE MGMNT.,NEW YORK,NY,10036,19,TNYC NYC SALES TAX (8.875%),No
7 AND 9 ROSZEL ROAD LLC,TNJ NJ SALES TAX (6.625%),,"C/O CBRE, INC.",PRINCETON,NJ,08540-6287,20,TNJ NJ SALES TAX (6.625%),Yes
ACP CONTRACTING INC.,NNJ Non-Taxable Sales New Jersey (0%),,25 JUST ROAD,FAIRFIELD,NJ,7004,27,NNJ Non-Taxable Sales New Jersey (0%),No
ADAMS & COMPANY,TNYC NYC SALES TAX (8.875%),,411 FIFTH AVENUE,NEW YORK,NY,10016,29,TNYC NYC SALES TAX (8.875%),No
AINSWORTH INC.,NNY NON-TAXABLE NY (0%),,83-40 72nd Drive,Glendale,NY,11385,953,NNY NON-TAXABLE NY (0%),
AIR COMFORT LLC,,,,,,,1001,,
AIR CONTROL MECHANICAL,NNJ Non-Taxable Sales New Jersey (0%),,24A WORLDS FAIR DRIVE,SOMERSET,NJ,8873,33,NNJ Non-Taxable Sales New Jersey (0%),No
"AIR IDEAL, INC.",NNY NON-TAXABLE NY (0%),,51 WINDSOR AVE.,MINEOLA,NY,11501,35,NNY NON-TAXABLE NY (0%),No
AIR STREAM AIR CONDITIONING CORP,NNY NON-TAXABLE NY (0%),,400 CROSSWAYS PARK DRIVE,WOODBURY,NY,11797,37,NNY NON-TAXABLE NY (0%),No
AIR SYSTEMS MAINTENANCE INC.,NNJ Non-Taxable Sales New Jersey (0%),,718 JEFFERSON AVENUE,KENILWORTH,NJ,7033,38,NNJ Non-Taxable Sales New Jersey (0%),Yes
AIRTAC LLC,TNJ NJ SALES TAX (6.625%),,300 Tice Boulevard Suite 170,Woodcliff Lake,NJ,7677,831,TNJ NJ SALES TAX (6.625%),No
AJ CELIANO INC.,NNJ Non-Taxable Sales New Jersey (0%),,460 LUDLOW AVE,CRANFORD,NJ,7016,42,NNJ Non-Taxable Sales New Jersey (0%),No
ALEXANDRIA TOWNSHIP BOE (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,557 COUNTY ROAD 513,PITTSTOWN,NJ,8867,902,NNJ Non-Taxable Sales New Jersey (0%),No
ALL COAST SERVICE,NNJ Non-Taxable Sales New Jersey (0%),,69 LAIRD AVENUE,NEPTUNE CITY,NJ,7753,818,NNJ Non-Taxable Sales New Jersey (0%),No
ALL COUNTY MECHANICAL CONTRACTING,NNJ Non-Taxable Sales New Jersey (0%),,56 MCKINLEY STREET,HACKENSACK,NJ,7601,763,NNJ Non-Taxable Sales New Jersey (0%),No
ALLENDALE BOARD OF EDUCATION,NNJ Non-Taxable Sales New Jersey (0%),,100 BROOKSIDE AVE.,ALLENDALE,NJ,7401,44,NNJ Non-Taxable Sales New Jersey (0%),No
"ALL-TECH CONTROLS, LLC",NNJ Non-Taxable Sales New Jersey (0%),,485 AMHERST DRIVE,BRICK,NJ,8723,978,NNJ Non-Taxable Sales New Jersey (0%),
"AMBIENT CONDITIONING, INC",NNJ Non-Taxable Sales New Jersey (0%),,601 King George Road,Fords,NJ,8863,1039,NNJ Non-Taxable Sales New Jersey (0%),
"AMCO ENTERPRISES, INC.",NNJ Non-Taxable Sales New Jersey (0%),,600 SWENSON DRIVE,KENILWORTH,NJ,7033,48,NNJ Non-Taxable Sales New Jersey (0%),No
AME INC,TNJ NJ SALES TAX (6.625%),danny@ame-inc.com,1275 BLOOMFIELD AVE,FAIRFIELD,NJ,7004,49,TNJ NJ SALES TAX (6.625%),
AME INC 1,,steve@ame-inc.com,"1275 Bloomfield Ave
STE 17B BLDG 2",Fairfield,NJ,7004,1002,,
"AMERESCO, INC.",,,520 W. SUMMIT HILL DRIVE,KNOXVILLE,TN,37902,50,,
AMITYVILLE UFSD (ED-DATA),NNY NON-TAXABLE NY (0%),,150 PARK AVE.,AMITYVILLE,NY,11701,51,NNY NON-TAXABLE NY (0%),No
AMNEAL PHARMACEUTICALS,NNJ Non-Taxable Sales New Jersey (0%),Priyeshkumar.shah@amneal.com,1 NEW ENGLAND AVENUE,PISCATAWAY,NJ,8854,737,NNJ Non-Taxable Sales New Jersey (0%),No
