simpro_customer_id,company_name,site_name,service_tier,site_address,bms_platform,contract_status,contract_number,contract_value,primary_contact,contact_phone,contact_email
921,HIGHLAND INDUSTRIAL BUILDINGS,HIGHLAND INDUSTRIAL BUILDINGS,CORE,"1055 ROUTE 9 SOUTH, OLD BRIDGE, NJ, 8857",Other,,,0,,,
285,"HANNA'S MECHANICAL CONTRACTORS, INC.","HANNA'S MECHANICAL CONTRACTORS, INC.",CORE,"44 NORTH MAIN STREET, MILLTOWN, NJ, 8850",Other,,,0,,,
290,HAVERSTRAW MIDDLE & HIGH SCHOOL,HAVERSTRAW MIDDLE & HIGH SCHOOL,CORE,"80 WEST ROUTE 9W, HAVERSTRAW, NY, 10927",Other,,,0,,,
325,JONES CONTRACTING INC.,JONES CONTRACTING INC.,CORE,"6 FLEETWOOD PLACE, FORDS, NJ, 8863",Other,,,0,,,
890,"JJ MECHANICAL SERVICES, LLC","JJ MECHANICAL SERVICES, LLC",CORE,"66 SCHOOL STREET, UNIT A, GLEN COVE, NY, 11542",Other,,,0,,,
746,BELLEVILLE BOARD OF EDUCATION (ESCNJ),BELLEVILLE BOARD OF EDUCATION (ESCNJ),CORE,"56 RALPH STREET, BELLEVILLE, NJ, 7109",Other,active,23-030623-279NJ,8005,,,renato.peralta@bellevilleschools.org
893,L-CADE,L-CADE,CORE,"3605 CHAIN BRIDGE ROAD, SUITE 401, FAIRFAX, VA, 22030",Other,,,0,,,
784,241 W 28TH STREET LLC,241 W 28TH STREET LLC,CORE,"243 WEST 28TH STREET, NEW YORK, NY, 10001",Other,,,0,,,
268,GOYETTE MECHANICAL,GOYETTE MECHANICAL,CORE,"3842 GOREY AVE., FLINT, MI, 48501",Other,,,0,,,
295,HILLSIDE SCHOOL DISTRICT (ESCNJ),HILLSIDE SCHOOL DISTRICT (ESCNJ),CORE,"1401 GLEN TERRACE, HILLSIDE, NJ, 7205",Other,,,0,,,
755,FLEMINGTON-RARITAN REG SCHL DIST (ESCNJ),FLEMINGTON-RARITAN REG SCHL DIST (ESCNJ),CORE,"50 COURT STREET, FLEMINGTON, NJ, 8822",Other,,,0,,,
74,BERNARDS TOWNSHIP B.O.E. (ESCNJ),BERNARDS TOWNSHIP B.O.E. (ESCNJ),CORE,"101 PEACHTREE ROAD, BASKING RIDGE, NJ, 7920",Other,,,0,,,
187,DONNELLY MECHANICAL CORP.,DONNELLY MECHANICAL CORP.,CORE,"96-59 222ND STREET, QUEENS VILLAGE, NY, 11429",Other,,,0,,,
992,BOROUGH OF RUTHERFORD,BOROUGH OF RUTHERFORD,CORE,"176 PARK AVE, RUTHERFORD, NJ, 7070",Other,,,0,,,
791,CropOne,CropOne,CORE,"725 MAIN STREET, MILLIS-CLICQUOT, MA, 2054",Other,,,0,,,
775,"CUSHMAN & WAKEFIELD, INC. (FISERV)","CUSHMAN & WAKEFIELD, INC. (FISERV)",CORE,"575 MARYVILLE CENTRE DRIVE, TOWN AND COUNTRY, MO, 63141",Other,active; expired,22-031022-650NY; 23-0140423-650NY,30691.8,,,
875,DOBBS FERRY UFSD (ED-DATA),DOBBS FERRY UFSD (ED-DATA),CORE,"505 BROADWAY, DOBBS FERRY, NY, 10522",Other,active; expired,24-0207-505NY; 24-0524-DFNJ; 25-0516-DFNJ,10661,,,
20,7 AND 9 ROSZEL ROAD LLC,7 AND 9 ROSZEL ROAD LLC,CORE,"C/O CBRE, INC., PRINCETON, NJ, 08540-6287",Other,active,22-042022-79NJ-B7,9938,,,gregory.ginis@cbre.com
241,FIRST GOAL HEATING & COOLING,FIRST GOAL HEATING & COOLING,CORE,"271 EAST BLACKWELL ST, DOVER, NJ, 7801",Other,,,0,,,
929,"ENERGY TRANSFER SOLUTIONS, LLC","ENERGY TRANSFER SOLUTIONS, LLC",CORE,"1220 WARD AVE, SUITE 300, WEST CHESTER, PA, 19380",Other,,,0,,,
198,EAST CONSTRUCTION CORP.,EAST CONSTRUCTION CORP.,CORE,"28 CLIFF AVE., YONKERS, NY, 10705",Other,,,0,,,
1002,AME INC 1,AME INC 1,CORE,"1275 Bloomfield Ave STE 17B BLDG 2, Fairfield, NJ, 7004",Other,active,2025-1,25000,,,steve@ame-inc.com
213,ENCON MECHANICAL,ENCON MECHANICAL,CORE,"P.O. BOX 2293, OCEAN TOWNSHIP, NJ, 7712",Other,,,0,,,
1023,"JOHN WILEY & SONS, INC.","JOHN WILEY & SONS, INC.",CORE,"111 RIVER STREET, HOBOKEN, NJ, 7030",Other,,,0,,,
153,CORE FACILITIES SERVICES LLC.,CORE FACILITIES SERVICES LLC.,CORE,"150 EAST 42ND STREET 7TH FLOOR, NEW YORK, NY, 10017",Other,active; expired,23-071223-620NJ; 23-072822-32NJ,64139.6,,,
856,CARL WALKER CONSTRUCTION,CARL WALKER CONSTRUCTION,CORE,"935 VISTA DRIVE, PITTSBURGH, PA, 15205",Other,,,0,,,
262,GILBANE BUILDING CO.,GILBANE BUILDING CO.,CORE,"120 ALBANY ST., SUITE 301, NEW BRUNSWICK, NJ, 8901",Other,,,0,,,
314,INROADS TECHNOLOGY,INROADS TECHNOLOGY,CORE,"2 Sheraton Plaza, Ho-Ho-Kus, NJ, 7423",Other,,,0,,,
320,JA-MAR AIR CONDITIONING & HEATING,JA-MAR AIR CONDITIONING & HEATING,CORE,"52 WEST BLACKWELL STREET, DOVER, NJ, 7801",Other,,,0,,,
737,AMNEAL PHARMACEUTICALS,AMNEAL PHARMACEUTICALS,CORE,"1 NEW ENGLAND AVENUE, PISCATAWAY, NJ, 8854",Other,,,0,,,priyeshkumar.shah@amneal.com
210,EMERSON BOARD OF EDUCATION (ESCNJ),EMERSON BOARD OF EDUCATION (ESCNJ),CORE,"133 MAIN STREET, EMERSON, NJ, 7630",Other,,,0,,,
78,BLOOMFIELD BOARD OF EDUCATION,BLOOMFIELD BOARD OF EDUCATION,CORE,"155 BROAD STREET, BLOOMFIELD, NJ, 7003",Other,,,0,,,
177,DELAWARE TOWNSHIP B.O.E. (ESCNJ),DELAWARE TOWNSHIP B.O.E. (ESCNJ),CORE,"501 ROSEMONT-RINGOES ROAD, SEGEANTSVILLE, NJ, 8857",Other,active; expired,23-020623-501NJ; 24-0208-501NJ,3964,,,jmunsey@dtsk8nj.org
979,"ASCENDIA PHARMACEUTICALS, INC.","ASCENDIA PHARMACEUTICALS, INC.",CORE,"661 US-1, NORTH BRUNSWICK, NJ, 8902",Other,,,0,,,
72,BENMAR AIR CONDITIONING LLC,BENMAR AIR CONDITIONING LLC,CORE,"65 CLIFTON BOULEVARD, CLIFTON, NJ, 7015",Other,active,25-0213-1401NJ-1LE,4975,,,
182,DLS MECHANICAL & MAINTENANCE CORP,DLS MECHANICAL & MAINTENANCE CORP,CORE,"275 JERICHO TURNPIKE, FLORAL PARK, NY, 11001",Other,,,0,,,
