simpro_customer_id,required_ppe_json,known_hazards_json,safety_contact_name,safety_contact_phone,safety_notes
921,[],[],,,
285,[],[],,,
290,[],[],,,
325,[],[],,,
890,[],[],,,
746,[],[],,,
893,[],[],,,
784,[],[],,,
268,[],[],,,
295,[],[],,,
755,[],[],,,
74,[],[],,,
187,[],[],,,
992,[],[],,,
791,[],[],,,
775,[],[],,,
875,[],[],,,
20,[],[],,,
241,[],[],,,
929,[],[],,,
198,[],[],,,
1002,[],[],,,
213,[],[],,,
1023,[],[],,,
153,[],[],,,
856,[],[],,,
262,[],[],,,
314,[],[],,,
320,[],[],,,
737,[],[],,,
210,[],[],,,
78,[],[],,,
177,[],[],,,
979,[],[],,,
72,[],[],,,
182,[],[],,,
1050,[],[],,,
804,[],[],,,
180,[],[],,,
100,[],[],,,
172,[],[],,,
832,[],[],,,
286,[],[],,,
38,[],[],,,
148,[],[],,,
113,[],[],,,
964,[],[],,,
79,[],[],,,
223,[],[],,,
251,[],[],,,
11,[],[],,,
766,[],[],,,
5,[],[],,,
827,[],[],,,
169,[],[],,,
1048,[],[],,,
58,[],[],,,
10,[],[],,,
951,[],[],,,
301,[],[],,,
811,[],[],,,
1064,[],[],,,
902,[],[],,,
224,[],[],,,
56,[],[],,,
849,[],[],,,
9,[],[],,,
967,[],[],,,
874,[],[],,,
95,[],[],,,
821,[],[],,,
212,[],[],,,
208,[],[],,,
306,[],[],,,
860,[],[],,,
321,[],[],,,
1029,[],[],,,
175,[],[],,,
1067,[],[],,,
48,[],[],,,
751,[],[],,,
16,[],[],,,
203,[],[],,,
911,[],[],,,
93,[],[],,,
829,[],[],,,
65,[],[],,,
219,[],[],,,
822,[],[],,,
141,[],[],,,
1051,[],[],,,
168,[],[],,,
918,[],[],,,
925,[],[],,,
62,[],[],,,
66,[],[],,,
189,[],[],,,
246,[],[],,,
311,[],[],,,
972,[],[],,,
817,[],[],,,
330,[],[],,,
943,[],[],,,
948,[],[],,,
1062,[],[],,,
237,[],[],,,
163,[],[],,,
42,[],[],,,
278,[],[],,,
296,[],[],,,
834,[],[],,,
263,[],[],,,
870,[],[],,,
1066,[],[],,,
123,[],[],,,
839,[],[],,,
120,[],[],,,
170,[],[],,,
323,[],[],,,
1004,[],[],,,
265,[],[],,,
133,[],[],,,
1008,[],[],,,
735,[],[],,,
96,[],[],,,
886,[],[],,,
756,[],[],,,
1063,[],[],,,
137,[],[],,,
302,[],[],,,
776,[],[],,,
762,[],[],,,
939,[],[],,,
227,[],[],,,
121,[],[],,,
1020,[],[],,,
1025,[],[],,,
344,[],[],,,
176,[],[],,,
200,[],[],,,
257,[],[],,,
966,[],[],,,
115,[],[],,,
127,[],[],,,
970,[],[],,,
816,[],[],,,
144,[],[],,,
976,[],[],,,
910,[],[],,,
318,[],[],,,
181,[],[],,,
294,[],[],,,
994,[],[],,,
869,[],[],,,
1038,[],[],,,
887,[],[],,,
64,[],[],,,
50,[],[],,,
322,[],[],,,
27,[],[],,,
851,[],[],,,
846,[],[],,,
345,[],[],,,
952,[],[],,,
958,[],[],,,
55,[],[],,,
980,[],[],,,
292,[],[],,,
961,[],[],,,
781,[],[],,,
185,[],[],,,
216,[],[],,,
845,[],[],,,
85,[],[],,,
279,[],[],,,
274,[],[],,,
947,[],[],,,
1015,[],[],,,
960,[],[],,,
840,[],[],,,
201,[],[],,,
897,[],[],,,
883,[],[],,,
862,[],[],,,
1026,[],[],,,
13,[],[],,,
7,[],[],,,
197,[],[],,,
51,[],[],,,
790,[],[],,,
868,[],[],,,
867,[],[],,,
221,[],[],,,
229,[],[],,,
249,[],[],,,
82,[],[],,,
1044,[],[],,,
305,[],[],,,
986,[],[],,,
1052,[],[],,,
978,[],[],,,
102,[],[],,,
329,[],[],,,
903,[],[],,,
812,[],[],,,
234,[],[],,,
52,[],[],,,
138,[],[],,,
67,[],[],,,
76,[],[],,,
333,[],[],,,
129,[],[],,,
879,[],[],,,
908,[],[],,,
828,[],[],,,
843,[],[],,,
1039,[],[],,,
794,[],[],,,
818,[],[],,,
1006,[],[],,,
749,[],[],,,
926,[],[],,,
984,[],[],,,
125,[],[],,,
298,[],[],,,
156,[],[],,,
240,[],[],,,
130,[],[],,,
107,[],[],,,
914,[],[],,,
795,[],[],,,
37,[],[],,,
324,[],[],,,
122,[],[],,,
81,[],[],,,
339,[],[],,,
272,[],[],,,
953,[],[],,,
773,[],[],,,
763,[],[],,,
35,[],[],,,
888,[],[],,,
905,[],[],,,
774,[],[],,,
793,[],[],,,
864,[],[],,,
49,[],[],,,
252,[],[],,,
193,[],[],,,
915,[],[],,,
1016,[],[],,,
954,[],[],,,
202,[],[],,,
70,[],[],,,
245,[],[],,,
303,[],[],,,
54,[],[],,,
823,[],[],,,
235,[],[],,,
232,[],[],,,
171,[],[],,,
1059,[],[],,,
284,[],[],,,
53,[],[],,,
19,[],[],,,
258,[],[],,,
1017,[],[],,,
87,[],[],,,
779,[],[],,,
1032,[],[],,,
900,[],[],,,
157,[],[],,,
857,[],[],,,
280,[],[],,,
1014,[],[],,,
767,[],[],,,
21,[],[],,,
1037,[],[],,,
792,[],[],,,
1003,[],[],,,
105,[],[],,,
1005,[],[],,,
1045,[],[],,,
327,[],[],,,
309,[],[],,,
90,[],[],,,
1036,[],[],,,
256,[],[],,,
44,[],[],,,
740,[],[],,,
924,[],[],,,
146,[],[],,,
805,[],[],,,
859,[],[],,,
183,[],[],,,
1024,[],[],,,
782,[],[],,,
98,[],[],,,
33,[],[],,,
29,[],[],,,
336,[],[],,,
342,[],[],,,
876,[],[],,,
80,[],[],,,
159,[],[],,,
1001,[],[],,,
800,[],[],,,
179,[],[],,,
946,[],[],,,
1021,[],[],,,
831,[],[],,,
205,[],[],,,
126,[],[],,,
225,[],[],,,
770,[],[],,,
